"PI","grid","Community_type","Latitude","Longitude","Adjusted_latitude","Elevation","ydiv","STA_avg_EVI","STA_max_EVI","phe_var_based_EVI","MAT","MAP","MAT_scale","MAP_scale"
"Fraser",1,"temp.grass",50.760183,-120.434867,57.6070298468468,760,3.295836866,2.383011258,1.631735181,0.686928514,3.36272727272727,431.941818181818,-0.897663824747772,-0.536811083334157
"Fraser",2,"temp.grass",50.752667,-120.398883,57.1310453783784,708,3.044522438,2.471537103,1.715221769,0.782900432,3.36272727272727,431.941818181818,-0.897663824747772,-0.536811083334157
"Fraser",3,"temp.grass",50.738717,-120.438067,57.1351133963964,710,3.36729583,2.954485156,1.858003469,0.728444565,4.12090909090909,343.252727272727,-0.785377154060728,-0.839067689259482
"Fraser",4,"temp.grass",50.7169,-120.413333,55.4105936936937,521,2.564949357,2.783283813,2.054295885,0.101736504,4.12090909090909,343.252727272727,-0.785377154060728,-0.839067689259482
"Fraser",5,"temp.grass",50.739333,-120.436183,57.0276212882883,698,3.218875825,2.841828881,1.927624835,0.664827414,4.12090909090909,343.252727272727,-0.785377154060728,-0.839067689259482
"Fraser",6,"temp.grass",50.786933,-120.45015,59.3094555225225,946,3.401197382,2.443619272,2.022259176,0.824090423,3.36272727272727,431.941818181818,-0.897663824747772,-0.536811083334157
"Fraser",7,"temp.grass",50.794733,-120.392683,58.5154537207207,857,3.218875825,2.357865659,1.967862475,1.154975455,3.36272727272727,431.941818181818,-0.897663824747772,-0.536811083334157
"Fraser",8,"temp.grass",50.7981,-120.4132,57.9152171171171,790,3.33220451,2.056279654,1.444765203,1.13210473,3.36272727272727,431.941818181818,-0.897663824747772,-0.536811083334157
"Fraser",9,"temp.grass",50.79075,-120.437733,58.754713963964,884,2.890371758,2.567693565,1.9425999,1.254937575,3.36272727272727,431.941818181818,-0.897663824747772,-0.536811083334157
"Fraser",10,"temp.grass",50.802333,-120.406433,57.9194501171171,790,2.708050201,2.120967807,1.51607384,1.133549224,3.36272727272727,431.941818181818,-0.897663824747772,-0.536811083334157
"Fraser",11,"temp.grass",50.780183,-120.432367,58.3297325495495,838,3.091042453,2.49568392,1.703638922,1.228696922,3.36272727272727,431.941818181818,-0.897663824747772,-0.536811083334157
"Fraser",12,"temp.wet.grass",51.79275,-121.463383,59.1621193693694,818,3.218875825,3.062881438,2.675948047,0.713150416,2.71363636363636,697.052727272727,-0.993794139940277,0.366699402050488
"Fraser",13,"temp.wet.grass",51.790833,-121.457867,59.1511933603604,817,3.044522438,3.269672028,2.574266008,0.9414646,2.71363636363636,697.052727272727,-0.993794139940277,0.366699402050488
"Beierkuhnlein",14,"temp.grass",49.89850648,11.56728288,53.8264344079279,436,4.143134726,2.379052888,3.074571676,-0.21166734,7.99090909090909,631.373636363636,-0.212230442891967,0.142861961673615
"Beierkuhnlein",15,"temp.grass",49.90182485,11.57475988,53.5865095346847,409,4.248495242,2.604988167,2.631971366,-0.212631287,7.99090909090909,631.373636363636,-0.212230442891967,0.142861961673615
"Beierkuhnlein",16,"temp.grass",49.91700013,11.58982915,53.1332163462162,357,3.713572067,2.446470439,2.596494102,-0.227965013,7.99090909090909,631.373636363636,-0.212230442891967,0.142861961673615
"Beierkuhnlein",17,"temp.grass",49.92199978,11.58323808,53.0841619421622,351,3.555348061,2.880067323,3.240368905,-0.427193626,7.99090909090909,631.373636363636,-0.212230442891967,0.142861961673615
"Beierkuhnlein",18,"temp.grass",49.93110598,11.53326193,53.1833582322523,361,2.48490665,2.933568709,3.161181586,-0.354859804,8.71272727272727,628.499090909091,-0.105329224036436,0.133065375151383
"Beierkuhnlein",19,"temp.grass",49.93094498,11.53340595,53.1471611962162,357,2.772588722,2.933568709,3.161181586,-0.354859804,8.71272727272727,628.499090909091,-0.105329224036436,0.133065375151383
"Boldgiv",20,"temp.grass",51.02284,100.76528,66.3201372972973,1698,3.688879454,1.974869319,1.887887628,1.08389445,-5.14090909090909,341.336363636364,-2.15705173554706,-0.845598746940969
"Boldgiv",21,"temp.grass",51.02353,100.76481,66.3208272972973,1698,3.713572067,1.977582656,1.927558238,0.836563248,-5.14090909090909,341.336363636364,-2.15705173554706,-0.845598746940969
"Boldgiv",22,"temp.wet.grass",47.7656,107.1428,62.1619963963964,1598,4.025351691,1.876915081,1.943536317,0.584649973,-1.50454545454545,250.727272727273,-1.61850655239577,-1.15439880344661
"Boldgiv",23,"temp.wet.grass",47.76575,107.143,62.1621463963964,1598,3.970291914,1.876915081,1.943536317,0.584649973,-1.50454545454545,250.727272727273,-1.61850655239577,-1.15439880344661
"Boldgiv",24,"temp.wet.grass",47.76555,107.142817,62.1619463963964,1598,3.912023005,1.876915081,1.943536317,0.584649973,-1.50454545454545,250.727272727273,-1.61850655239577,-1.15439880344661
"Boldgiv",25,"temp.wet.grass",47.765433,107.141883,62.1618293963964,1598,3.871201011,1.876915081,1.943536317,0.584649973,-1.50454545454545,250.727272727273,-1.61850655239577,-1.15439880344661
"Tungalag",26,"temp.grass",49.77176,107.27757,57.8258140540541,894,3.737669618,2.308075104,1.919871301,0.260273748,-0.0509090909090909,286.204545454545,-1.40322311543105,-1.03349058427201
"Tungalag",27,"temp.grass",49.76893,107.28615,57.723884954955,883,3.737669618,2.637906294,2.097037851,-0.444760088,-0.0509090909090909,286.204545454545,-1.40322311543105,-1.03349058427201
"Tungalag",28,"temp.grass",48.26102,106.52959,61.6123713513514,1482,4.094344562,2.722827275,1.952271377,-0.248703412,0.130909090909091,267.506363636364,-1.37629585627348,-1.09721487003711
"Tungalag",29,"temp.grass",48.25943,106.53088,61.6107813513513,1482,4.025351691,3.314300067,2.241961549,-0.26145912,0.130909090909091,267.506363636364,-1.37629585627348,-1.09721487003711
"Bork",30,"temp.grass",50.872586,-111.92871,57.3230364504504,716,3.218875825,2.096946949,2.227945842,0.811115371,5.68090909090909,291.957272727273,-0.554341270488824,-1.01388501832872
"Bork",31,"temp.grass",50.872099,-111.925417,57.3225494504505,716,3.135494216,2.112703388,2.210506748,0.808849387,5.68090909090909,291.957272727273,-0.554341270488824,-1.01388501832872
"Bork",32,"temp.grass",50.901331,-112.00004,57.3968264954955,721,3.33220451,2.364322572,2.322720461,1.057749909,5.68090909090909,291.957272727273,-0.554341270488824,-1.01388501832872
"Bork",33,"temp.grass",50.901844,-112.00004,57.3973394954955,721,2.995732274,1.9290522,1.8723965,1.548435245,5.68090909090909,291.957272727273,-0.554341270488824,-1.01388501832872
"Bork",34,"temp.grass",50.89749,-111.95183,57.3569494594595,717,2.48490665,1.830708688,2.184959743,0.80520596,5.68090909090909,291.957272727273,-0.554341270488824,-1.01388501832872
"Bork",35,"temp.grass",50.90155,-111.94801,57.3520004504504,716,3.135494216,1.08907944,1.500061795,0.988258111,5.68090909090909,291.957272727273,-0.554341270488824,-1.01388501832872
